1,banda aceh,3040,Aceh
2,langsa,2613,
3,lhokseumawe,2779,
4,sabang,2279,
5,subulussalam,2477,
6,aceh barat,2849,
7,aceh barat daya,1.986,
8,aceh besar,3025,
9,aceh jaya,2925,
10,aceh selatan,1.922,
11,aceh singkil,2443,
12,aceh tamiang,2578,
13,aceh tengah,2777,
14,aceh tenggara,1892,
15,aceh timur,2707,
16,aceh utara,2761,
17,bener meriah,2871,
18,bireuen,2863,
19,gayo lues,2648,
20,nagan raya,2763,
21,pidie,2963,
22,pidie jaya,2902,
23,simeulue,1995,
24,asahan,2260,Sumatra Utara
25,batu bara,2323,
26,dairi,2442,
27,deli serdang,2448,
28,humbang hasundutan,2367,
29,karo,2493,
30,labuhanbatu,2188,
31,labuhanbatu selatan,2102,
32,labuhanbatu utara,2202,
33,langkat,2517,
34,mandailing natal,2136,
35,nias,1740,
36,nias barat,1760,
37,nias selatan,1709,
38,nias utara,1787,
39,padang lawas,2064,
40,padang lawas utara,2127,
41,pakpak bharat,2465,
42,samosir,2415,
43,serdang bedagai,2384,
44,simalungun,2362,
45,tapanuli selatan,2204,
46,tapanuli tengah,2281,
47,tapanuli utara,2287,
48,toba samosir,2270,
49,binjai,2477,
50,gunungsitoli,1764,
51,medan,2445,
52,padang sidimpuan,2176,
53,pematang siantar,2378,
54,sibolga,2263,
55,tanjung balai,2287,
56,tebing tinggi,2372,
57,agam,1932,Sumatra Barat
58,dharmasraya,1683,
59,kepulauan mentawai,1484,
60,lima puluh kota,1916,
61,padang pariaman,1914,
62,pasaman,1971,
63,pasaman barat,2076,
64,pesisir selatan,1278,
65,sijunjung,1790,
66,solok,1875,
67,solok selatan,1262,
68,tanah datar,1849,
69,bukit tinggi,1887,
70,padang,1875,
71,padangpanjang,1876,
72,pariaman,1923,
73,payakumbuh,1868,
74,sawahlunto,1813,
75,bengkalis,1973,Riau
76,indragiri hilir,1198,
77,indragiri hulu,1609,
78,kampar,1891,
79,kepulauan meranti,1307,
80,kuantan singingi,1800,
81,pelalawan,1708,
82,rokan hilir,2008,
83,rokan hulu,1984,
84,siak,1856,
85,dumai,1983,
86,pekanbaru,1791,
87,bintan,1187,Kepulauan Riau
88,karimun,1239,
89,kepulauan anambas,1318,
90,lingga,1061,
91,natuna,1318,
92,batam,1681,
93,tanjungpinang,1439,
94,batanghari,1398,Jambi
95,bungo,1627,
96,kerinci,1690,
97,merangin,1148,
98,muaro jambi,1380,
99,sarolangun,1445,
100,tanjung jabung barat,1471,
101,tanjung jabung timur,1058,
102,tebo,1671,
103,jambi,1346,
104,sungaipenuh,1665,
105,bengkulu selatan,933,Bengkulu
106,bengkulu tengah,1344,
107,bengkulu utara,1432,
108,kaur,1182,
109,kepahiang,1391,
110,lebong,1454,
111,mukomuko,1606,
112,rejang lebong,1354,
113,seluma,1287,
114,bengkulu,1343,
115,banyuasin,1119,Sumatera Selatan
116,empat lawang,1340,
117,lahat,1256,
118,muara enim,1146,
119,musi banyuasin,1222,
120,musi rawas,1281,
121,musi rawas utara,1043,
122,ogan ilir,1044,
123,ogan komering ilir,771,
124,ogan komering ulu,850,
125,ogan komering ulu selatan,1064,
126,ogan komering ulu timur,981,
127,penukal abab lematang ilir,1140,
128,lubuklinggau,1315,
129,pagar alam,1183,
130,palembang,1074,
131,prabumulih,1101,
132,bangka,1238,Kepulauan Bangka Belitung
133,bangka barat,1248,
134,bangka selatan,1347,
135,bangka tengah,1288,
136,belitung,958,
137,belitung timur,1002,
138,pangkalpinang,1251,
139,lampung barat,993,Lampung
140,lampung selatan,729,
141,lampung tengah,839,
142,lampung timur,776,
143,lampung utara,878,
144,mesuji,946,
145,pesawaran,827,
146,pesisir barat,782,
147,pringsewu,821,
148,tanggamus,875,
149,tulang bawang,920,
150,tulang bawang barat,878,
151,way kanan,952,
152,bandar lampung,765,
153,metro,803,
154,tangerang,563,Banten
155,tangerang selatan,558,
156,serang,618,
157,cilegon,633,
158,ciruas,610,
159,pandeglang,733,
160,rangkasbitung,630,
161,jakarta utara,539,DKI Jakarta
162,jakarta timur,528,
163,jakarta selatan,538,
164,jakarta pusat,541,
165,jakarta barat,547,
166,seribu,509,
167,bandung,568,Jawa Barat
168,bandung barat,520,
169,bekasi,495,
170,bogor,590,
171,ciamis,390,
172,cianjur,622,
173,cirebon,336,
174,garut,537,
175,indramayu,385,
176,karawang,479,
177,kuningan,328,
178,majalengka,369,
179,pangandaran,418,
180,purwakarta,480,
181,subang,447,
182,sukabumi,629,
183,sumedang,411,
184,tasikmalaya,459,
185,banjar,378,
186,cimahi,525,
187,depok,556,
188,banjarnegara,200,Jawa Tengah
189,banyumas,245,
190,batang,168,
191,blora,163,
192,boyolali,29,
193,brebes,282,
194,cilacap,241,
195,demak,133,
196,grobogan,65,
197,jepara,179,
198,karanganyar,22,
199,kebumen,169,
200,kendal,133,
201,klaten,36,
202,kudus,159,
203,magelang,106,
204,pati,113,
205,pekalongan,194,
206,pemalang,228,
207,purbalingga,228,
208,purworejo,115,
209,rembang,145,
210,semarang,107,
211,sragen,37,
212,sukoharjo,14,
213,tegal,256,
214,temanggung,117,
215,wonogiri,36,
216,wonosobo,156,
217,salatiga,56,
218,bangkalan,296,Jawa Timur
219,banyuwangi,541,
220,blitar,229,
221,bojonegoro,160,
222,bondowoso,456,
223,gresik,281,
224,jember,427,
225,jombang,197,
226,kediri,212,
227,lumajang,389,
228,madiun,118,
229,magetan,117,
230,malang,370,
231,mojokerto,218,
232,nganjuk,153,
233,ngawi,99,
234,pacitan,111,
235,pamekasan,385,
236,pasuruan,319,
237,ponorogo,145,
238,probolinggo,382,
239,sampang,361,
240,sidoarjo,266,
241,situbondo,475,
242,sumenep,438,
243,trenggalek,201,
244,tuban,197,
245,tulungagung,219,
246,batu,260,
247,surabaya,260,
248,yogyakarta,63,Yogyakarta
249,sleman,72,
250,bantul,76,
251,gunung kidul,67,
252,kulon progo,97,
253,badung,617,Bali
254,bangli,646,
255,buleleng,577,
256,gianyar,640,
257,jembrana,543,
258,karangasem,680,
259,klungkung,654,
260,tabanan,614,
261,denpasar,663,
262,alor,2233,NTT
263,belu,2425,
264,ende,1798,
265,flores timur,2012,
266,kupang,2207,
267,lembata,2098,
268,malaka,2399,
269,manggarai,1477,
270,manggarai barat,1419,
271,manggarai timur,1528,
272,ngada,1644,
273,nagekeo,1707,
274,rote ndao,2080,
275,sabu raijua,1982,
276,sikka,1893,
277,sumba barat,1630,
278,sumba barat daya,1666,
279,sumba tengah,1632,
280,sumba timur,1549,
281,timor tengah selatan,2294,
282,timor tengah utara,2363,
283,kupang,2159,
284,bima,1210,NTB
285,dompu,1151,
286,lombok barat,784,
287,lombok tengah,805,
288,lombok timur,851,
289, lombok utara,851,
290,sumbawa,1013,
291,sumbawa barat,967,
292,bima,1227,
293,mataram,790,
294,bengkayang,1379,Kalimantan Barat
295,kapuas hulu,1625,
296,kayong utara,744,
297,ketapang,904,
298,kubu raya,1288,
299,landak,1251,
300,melawi,1469,
301,mempawah,1316,
302,sambas,1429,
303,sanggau,1224,
304,sekadau,1302,
305,sintang,855,
306,pontianak,1248,
307,singkawang,1391,
308,balangan,1382,Kalimantan Selatan
309,banjar,1267,
310,barito kuala,1233,
311,hulu sungai selatan,1311,
312,hulu sungai tengah,1363,
313,hulu sungai utara,1370,
314,kotabaru,1458,
315,tabalong,1391,
316,tanah bumbu,1385,
317,tanah laut,1286,
318,tapin,1293,
319,banjarbaru,1249,
320,banjarmasin,1218,
321,barito selatan,772,Kalimantan Tengah
322,barito timur,1302,
323,barito utara,1314,
324,gunung mas,1706,
325,kapuas,1115,
326,katingan,1082,
327,kotawaringin barat,648,
328,kotawaringin timur,885,
329,lamandau,801,
330,murung raya,1511,
331,pulang pisau,644,
332,sukamara,706,
333,seruyan,537,
334,palangkaraya,1025,
335,berau,2215,Kalimantan Timur
336,kutai barat,972,
337,kutai kartanegara,1046,
338,kutai timur,2012,
339,mahakam ulu,1042,
340,paser,1479,
341,penajam aaser utara,1616,
342,balikpapan,1619,
343,bontang,1834,
344,samarinda,1721,
345,bulungan,2418,Kalimantan Utara
346,malinau,1317,
347,nunukan,2645,
348,tana tidung,1418,
349,tarakan,2384,
350,boalemo,2380,Gorontalo
351,bone bolango,1657,
352,gorontalo,2444,
353,gorontalo utara,1601,
354,pohuwato,1518,
355,gorontalo,2444,
356,majene,1370,Sulawesi Barat
357,masama,2170,
358,mamuju,1481,
359,mamuju tengah,1669,
360,pasangkayu,1753,
361,polewali mandar,1347,
362,bantaeng,1213,Sulawesi Selatan
363,barru,1173,
364,bone,1202,
365,bulukumba,1243,
366,enrekang,1293,
367,gowa,1134,
368,janeponto,1164,
369,kepulauan selayar,1077,
370,luwu,1413,
371,luwu timur,1629,
372,luwu utara,1603,
373,maros,1113,
374,pangkajene,1120,
375,pinrang,1253,
376,sidenreng rappang,1290,
377,sinjai,1213,
378,sopeng,1233,
379,takalar,1125,
380,tana toraja,1356,
381,toraja utara,1407,
382,wajo,1280,
383,makassar,1081,
384,palopo,1448,
385,parepare,1224,
386,bombana,2100,Sulawesi Tenggara
387,buton,1367,
388,buton selatan,1367,
389,buton tengah,1667,
390,buton utara,1635,
391,kolaka,1917,
392,kolaka timur,1972,
393,kolaka utara,1246,
394,konawe,2009,
395,konawe kepulauan,1412,
396,konawe selatan,2099,
397,konawe utara,2055,
398,muna,1587,
399,muna barat,1587,
400,wakatobi,1458,
401,bau bau,1500,
402,kendari,2080,
403,banggai,1500,Sulawesi Tengah
404,banggai kepulauan,1521,
405,banggai laut,2099,
406,buol,2410,
407,donggala,1973,
408,morowali,1918,
409,morowali utara,1340,
410,parigi moutong,2124,
411,poso,1777,
412,sigi,1216,
413,tojo una una,1388,
414,tolitoli,2218,
415,palu,1910,
416,bolaang mongondow,2656,Sulawesi Utara
417,bolaang mongondow selatan,1693,
418,bolaang mongondow timur,2701,
419,bolaang mongondow utara,2509,
420,kepulauan sangihe,2049,
421,kepulauan talaud,2210,
422,minahasa,2766,
423,minahasa tenggara,2758,
424,minahasa selatan,2722,
425,minahasa utara,2808,
426,bitung,2823,
427,kotamobagu,2682,
428,manado,2783,
429,tomohon,2775,
430,buru,1818,Maluku
431,buru selatan,1806,
432,kepulauan aru,2622,
433,maluku barat daya,1710,
434,maluku tengah,2126,
435,maluku tenggara,3590,
436,kepulauan tanimbar,2262,
437,seram bagian barat,1989,
438,seram bagian timur,2195,
439,ambon,2215,
440,tual,3574,
441,halmahera barat,2108,Maluku Utara
442,halmahera tengah,2138,
443,halmahera timur,2193,
444,halmahera selatan,1989,
445,halmahera utara,3401,
446,kepulauan sula,1793,
447,pulau morotai,2240,
448,pulau taliabu,1671,
449,ternate ,3103,
450,tidore kepulauan,2053,
451,asmat,3058,Papua
452,biak numfor,3301,
453,boven dogoel,3264,
454,deiyai,2857,
455,dogiyai,2775,
456,intan jaya,2902,
457,jayapura,3251,
458,jayawijaya,3117,
459,keerom,3344,
460,kepulauan yapen,2880,
461,lanny jaya,3065,
462,mamberemo raya,3033,
463,mamberemo tengah,3097,
464,mappi,3183,
465,merauke,3107,
466,mimika,2928,
467,nabire,2793,
468,nduga,3050,
469,paniai,2854,
470,pegunungan bintang,3297,
471,puncak,2989,
472,puncak jaya,3023,
473,sarmi,3191,
474,supiori,3386,
475,tolikara,3092,
476,waropen,2907,
477,yahukimo,3190,
478,yalimo,3192,
479,jayapura,3862,
480,fakfak,2505,Papua Barat
481,kaimana,2601,
482,manokwari,3045,
483,manokwari selatan,2649,
484,maybrat,2827,
485,pegunungan arfak,2633,
486,raja ampat,2335,
487,sorong,2699,
488,sorong selatan,2448,
489,tambrauw,2505,
490,teluk bintuni,3353,
491,teluk wondama,2652,
492,sorong,2659,
